Predicted,Actual
재정부,기획재정부
총회,연차총회
호,4월호
총리,연차총회
술,즐기기
세계,세계 
친,친환경
총회,연차총회
아대,아태
신을,혁신을
세,세대가
재정부,기획재정부
탄,탄소배출
"송도,",송도
컨,컨벤시아로
이동,이동은
카,카풀이나
셔,셔틀버스로
고,고고
자,자원순환시설
투,투어로
감,감량시설
매,매립가스
견,견학하기
기,기후변화
세,세미나에
신,신청하기
재정부,기획재정부
기,기념품으로
틀,텀블러
스,스마트한
분,분리수거로
바,바리스타
로,로봇이
커,커피는
옥,옥수수컵에
한,한국세미나에서
직관!,직관
408,ADB
한국,한국세미나에서
기,기업의
유,유망산업
소,소개로
기,기업의
수,수출수주
베,베지테리안
할,할랄
식,식단도
여,여성연사
장,장애물
컨,컨벤시아를
누리자!,누리자
각,각국의
관,관계자들이
진,진행되는
주,주제의
회의!,회의
덤,덤으로
팝,K-팝
뉴,뉴진스와
포,포레스텔라
경,경원재에서
한,한국의
미,미를
"먹고,",먹고
공,공연을
감,감상하며
100,100배
재정부,기획재정부
'23.5.2(,23.5.2(화)~5.4(목)
컨,컨벤시아
4,4개
2,2개에
참,참여하고
5145,SNS에
인,인증샷
탄,탄소
의,의전용
전,전기차
폐,폐기물
블,텀블러
세,세척기
지,지구온도
한,한국기업
한,한국기업
주,주최국
세,세미나
한,한국
세,세미나
참,참석
갤,갤럭시탭
뉴,뉴진스  
'23.5.4(,23.5.4(목)
시,16시
