,values
0,0.17307692307692307
1,0.47619047619047616
2,0.5714285714285714
3,0.7954545454545454
4,0.045454545454545456
5,0.42857142857142855
6,1.2857142857142858
7,0.4090909090909091
8,0.5454545454545454
9,0.29545454545454547
10,0.42857142857142855
11,0.5714285714285714
12,0.5714285714285714
13,0.47619047619047616
14,0.42857142857142855
15,0.631578947368421
16,0.23809523809523808
17,0.045454545454545456
18,0.42857142857142855
19,0.42857142857142855
20,0.3333333333333333
21,-0.045454545454545456
22,0.42857142857142855
23,0.5714285714285714
24,1.162162162162162
25,1.1891891891891893
26,0.42857142857142855
27,0.5714285714285714
28,0.47619047619047616
29,0.42857142857142855
30,0.5116279069767442
31,0.19230769230769232
32,0.42857142857142855
33,0.8636363636363636
34,0.4090909090909091
35,0.45454545454545453
36,0.8181818181818182
37,0.42857142857142855
38,0.6666666666666666
39,1.1904761904761905
40,0.9523809523809523
41,0.9523809523809523
42,0.8095238095238095
43,0.47619047619047616
44,0.6046511627906976
45,1.2857142857142858
46,0.4523809523809524
47,1.1428571428571428
48,0.47619047619047616
49,0.42857142857142855
50,1.2857142857142858
51,0.5714285714285714
52,1.375
53,1.34375
54,0.8717948717948718
55,1.2857142857142858
56,0.42857142857142855
57,0.5681818181818182
58,0.9361702127659575
59,0.35714285714285715
60,1.2857142857142858
61,0.42857142857142855
62,1.2857142857142858
63,0.47619047619047616
64,0.5714285714285714
65,1.1904761904761905
66,1.2857142857142858
67,0.5581395348837209
68,0.42857142857142855
69,1.2857142857142858
70,0.19047619047619047
71,0.19230769230769232
72,0.45454545454545453
73,0.4090909090909091
74,0.5454545454545454
75,0.4418604651162791
76,0.4090909090909091
77,0.5454545454545454
78,0.5714285714285714
79,0.4090909090909091
80,0.5909090909090909
81,0.7954545454545454
82,0.5454545454545454
83,0.5681818181818182
84,0.45454545454545453
85,0.9523809523809523
86,0.47619047619047616
87,1.0
88,0.45454545454545453
89,0.9090909090909091
90,0.7272727272727273
91,0.3877551020408163
92,0.5454545454545454
93,1.2272727272727273
94,1.1363636363636365
95,0.45454545454545453
96,0.9090909090909091
97,0.4090909090909091
98,0.9090909090909091
99,0.47619047619047616
100,0.9523809523809523
101,0.4318181818181818
102,1.1363636363636365
103,1.2727272727272727
104,0.4222222222222222
105,0.6590909090909091
106,0.45454545454545453
107,0.6590909090909091
108,0.5454545454545454
109,0.5434782608695652
110,2.5
111,0.17391304347826086
